año,pobreza_ingresos_pct,pobreza_extrema_pct,pobreza_urbana_pct,pobreza_rural_pct,desempleo_pct,informalidad_pct,empleo_adecuado_pct,gini_inec,ingreso_laboral_promedio,pais,fuente,salario_basico_usd,linea_pobreza_usd,ratio_ingreso_pobreza,pib_per_capita_usd,crecimiento_pib_pct,empleo_agricultura_pct,empleo_industria_pct,empleo_servicios_pct
2007,36.7,16.5,25.0,61.5,6.1,,,0.54,,Ecuador,INEC-ENEMDU,170,56.6,,3478.92488770671,1.90242859700484,30.4221323815062,16.7040985198051,52.8737530919095
2008,35.1,15.0,23.0,60.0,7.3,,,0.52,,Ecuador,INEC-ENEMDU,185,60.0,,4194.75750661981,6.56492068224719,29.8897786306593,16.8307616700468,53.2794438869723
2009,36.0,14.8,24.0,59.9,8.5,,,0.5,,Ecuador,INEC-ENEMDU,218,65.0,,4053.36331139298,1.0910129698311,30.4777210072297,16.8657555152802,52.6565234774901
2010,32.8,13.1,22.0,54.7,5.0,,,0.504,,Ecuador,INEC-ENEMDU,240,67.5,,4520.30959039763,4.02913787986621,29.8008045322174,16.5893881307238,53.6098234032825
2011,28.6,11.6,17.4,50.9,4.2,58.8,41.2,0.473,318.0,Ecuador,INEC-ENEMDU,264,72.9,4.36,5153.6916424375,8.48147656332823,29.8023535500988,16.0804858954401,54.1171447165174
2012,27.3,10.1,16.1,49.1,4.1,56.1,43.9,0.477,340.0,Ecuador,INEC-ENEMDU,292,76.5,4.44,5634.08393191094,5.783212336172,29.0973423826153,16.2124540085405,54.6902189023713
2013,25.6,8.6,15.3,47.1,4.2,54.2,45.8,0.477,356.0,Ecuador,INEC-ENEMDU,318,79.0,4.51,6109.29031510341,7.21123653679159,27.7670807043718,17.745985049549,54.4869192548521
2014,22.5,7.7,14.0,43.0,3.8,53.0,47.0,0.467,379.0,Ecuador,INEC-ENEMDU,340,82.4,4.6,6405.79979300441,4.22606520388456,26.3895550546575,18.5898192811504,55.0206256641921
2015,23.3,8.5,15.7,43.8,4.8,55.3,44.7,0.466,375.0,Ecuador,INEC-ENEMDU,354,84.6,4.43,5976.1596805651,0.119692109287612,27.3171938571813,18.2715367507203,54.4112830836989
2016,22.9,8.7,15.7,43.0,5.2,55.7,41.6,0.466,368.0,Ecuador,INEC-ENEMDU,366,84.0,4.38,5917.63771271481,-0.687954245877947,28.0593781990725,17.2903721887704,54.65026273824
2017,21.5,8.4,15.0,40.2,4.6,53.5,42.3,0.452,375.0,Ecuador,INEC-ENEMDU,375,83.6,4.49,6233.32244797718,5.97039880954841,28.8156213481919,17.2219900003639,53.9623760154301
2018,23.2,10.1,16.1,43.2,3.7,52.4,40.6,0.473,379.0,Ecuador,INEC-ENEMDU,386,84.7,4.47,6303.91886658338,1.04429460679607,29.9612138057394,17.1698980538559,52.8688881404047
2019,25.0,10.5,17.2,43.8,3.8,53.0,38.8,0.473,374.0,Ecuador,INEC-ENEMDU,394,85.9,4.35,6205.05765246766,0.1654044646003,30.8610652741592,15.9356109804885,53.2033113588467
2020,32.4,14.9,25.1,49.9,5.0,56.5,31.4,0.497,321.0,Ecuador,INEC-ENEMDU,400,84.3,3.81,5463.64515348598,-9.24509619165865,31.7946540279568,15.8813976565229,52.3239345773939
2021,27.7,11.2,19.3,44.0,4.4,54.6,35.7,0.476,350.0,Ecuador,INEC-ENEMDU,400,84.7,4.13,6061.32350181711,9.42189269033631,32.1854828435665,16.830302541646,50.9842146147874
2022,25.2,8.2,17.8,39.4,3.8,54.3,36.8,0.459,368.0,Ecuador,INEC-ENEMDU,425,87.6,4.2,6515.58528418336,5.86842354862311,31.5251824003046,17.3465369312639,51.1282687852885
2023,26.0,9.8,18.0,46.4,3.5,55.5,35.3,0.462,362.0,Ecuador,INEC-ENEMDU,450,89.9,4.03,6737.84748379638,1.98823813984235,29.9978106319384,17.4666997356192,52.5354896324424
2024,28.0,12.7,20.9,43.3,3.4,58.0,34.1,0.48,354.6,Ecuador,INEC-ENEMDU,460,91.4,3.88,6874.705739766,-2.00125476341026,32.5873351767262,16.6456966578206,50.7669798794512
